Joint_1,Joint_2,Joint_3,Joint_4,Joint_5,Joint_6,Joint_7,Joint_8,Joint_9,Joint_10,Joint_11,Joint_12
-0.005875716,0.005831888,-0.006029485,-0.0019376343,-0.0026053367,0.0007467621,0.005427717,0.0050437995,-0.0063939695,0.0028465977,-0.002087105,-3.5916648e-06
0.23275167,-0.0,-0.0,-0.28638044,0.0,0.0,-0.18219212,-0.0,-0.0,0.35229787,-0.0,0.0
0.17394756,0.012338349,0.02577475,-0.20006023,-0.019938437,-0.048063513,-0.13048628,-0.004440969,0.037074205,0.2436177,0.011733364,-0.05469953
0.32868135,0.1861275,0.16133967,-0.103880875,0.14095807,-0.353595,-0.21868095,-0.20814918,0.18131281,0.13438807,-0.07084494,-0.58169353
0.4634031,0.5411983,0.2587864,-0.04136496,0.29427156,-0.3540083,-0.1657249,-0.29839286,0.14543779,0.1947742,-0.66320974,-0.89027536
0.5186753,0.73277146,0.22968325,-0.015086465,0.30559704,-0.23863222,-0.06322651,-0.30458018,0.017257638,0.2991967,-1.1269616,-0.8862208
0.51873183,0.81794363,0.14919546,0.06413145,0.2669085,-0.09745346,0.05250861,-0.3680186,-0.06963043,0.3354536,-1.3238586,-0.7475251
0.38939282,0.81861407,-0.015240506,0.14829506,0.19388035,0.0030590354,0.15807228,-0.4868407,-0.006009135,0.21567991,-1.264315,-0.61659515
0.11593102,0.6609357,-0.082353,0.24677424,0.084713474,-0.027865363,0.19169569,-0.6216829,0.16964246,0.01373044,-0.93504614,-0.25468397
0.10266447,0.6379162,0.022995735,0.24741389,0.17433468,-0.2691506,0.14754295,-0.67727864,0.35888547,-0.12935299,-0.46597067,0.06902098
0.09668482,0.6391464,0.09734433,0.16150634,0.25451517,-0.38403472,-0.027112996,-0.76897115,0.40000197,-0.10308947,-0.3171863,0.03354551
0.18790668,0.6071424,0.19859695,0.17410788,0.2975712,-0.43007672,-0.21639404,-0.87229306,0.40000683,-0.05112379,-0.25941226,-0.14731327
0.2506865,0.5760189,0.26321402,0.19404452,0.33632407,-0.44801408,-0.32078335,-0.9490335,0.4000039,-0.054981858,-0.20085424,-0.19744271
0.31250918,0.5172892,0.32381722,0.25670266,0.37271944,-0.40011352,-0.48868412,-1.0639237,0.39827278,-0.13799365,0.1450709,-0.27571332
0.31194592,0.47800988,0.34261212,0.27060956,0.37845746,-0.35626557,-0.58935434,-1.0686933,0.39876905,-0.1869769,0.3499239,-0.2807802
0.29525378,0.42957968,0.36129358,0.2672609,0.3848123,-0.3105068,-0.72141767,-1.0388116,0.40000346,-0.20484108,0.46411857,-0.23645228
0.27443382,0.37793562,0.37661496,0.26303715,0.38546044,-0.25718784,-0.8526655,-0.993264,0.40000364,-0.19995058,0.4956211,-0.19808672
0.23358,0.26424038,0.40393007,0.23160909,0.3815137,-0.21379574,-1.0925372,-0.84737563,0.40000108,-0.1796707,0.54068553,-0.13126564
0.21481505,0.20932423,0.40937263,0.17487542,0.348347,-0.2531768,-1.1850519,-0.76293474,0.40006837,-0.17301889,0.5629263,-0.100316696
0.201837,0.15736774,0.40515143,0.061296646,0.32586783,-0.39062238,-1.2849979,-0.6559744,0.40003523,-0.17849365,0.57881653,-0.056673553
0.20109937,0.10965677,0.39237735,-0.08045877,0.3379778,-0.6144969,-1.3757542,-0.530355,0.39999256,-0.20378867,0.5843072,0.0067800945
0.19829611,0.030356256,0.33317712,-0.3785475,0.22396518,-1.0446589,-1.4755609,-0.21672021,0.40000027,-0.2823839,0.57549524,0.17092274
0.19159213,-0.009380823,0.29117197,-0.46251675,0.04341656,-1.1680351,-1.3825725,0.02099205,0.3999995,-0.33786672,0.55871177,0.28164026
0.17332722,-0.10409921,0.33968642,-0.36989102,-0.15160349,-1.2000002,-1.1273674,0.27239817,0.25190827,-0.41355854,0.5352187,0.4072657
0.45825455,-0.28984317,0.40000024,-0.025241725,-0.31069905,-0.65147865,-0.6397538,0.28547436,-0.0862562,-0.2901891,0.59882575,0.024724646
0.9967668,-0.005782023,0.4000002,0.08681157,-0.14573912,-0.40225935,-0.20194672,-0.16369805,-0.031941533,0.2961809,0.30471304,-0.9273886
0.88031065,0.56143856,0.40000013,0.05891854,0.049763553,-0.4587626,-0.17240301,-0.2526817,-0.07161646,0.25174013,-0.2759508,-0.8205439
0.6518992,0.9027517,0.33416796,0.07607517,0.18357919,-0.4323424,-0.19723986,-0.35877466,-0.085444964,0.04443101,-0.62767106,-0.5400703
0.4527876,0.86760455,0.113113806,0.11205354,0.29020512,-0.35897163,-0.24377903,-0.49453253,-0.064140484,-0.089209236,-0.49652314,-0.21592969
0.30549243,0.689788,0.033341974,0.14788264,0.30858004,-0.2912537,-0.20755169,-0.65677845,0.027039412,-0.18197756,-0.24872094,-0.009577601
0.35987288,0.60398686,0.12237545,0.108033076,0.26095122,-0.42292997,-0.20440498,-0.7936805,0.26891014,-0.13196705,-0.13810757,-0.17291039
0.41484696,0.4347854,0.25401536,0.03754881,0.16409092,-0.5422948,-0.5491459,-0.90562564,0.39999783,-0.10073967,0.032643102,-0.28355062
0.41849878,0.30568486,0.3148612,0.033427447,0.21942022,-0.473149,-0.79473287,-0.9932082,0.40000805,-0.08011801,0.1539043,-0.30715612
0.4340762,0.15706348,0.34513688,0.04711501,0.2983017,-0.39932567,-1.0123092,-1.0133021,0.40000916,-0.09522988,0.2810035,-0.30546412
0.4336679,0.06578829,0.3392506,0.058717933,0.32906708,-0.34630588,-1.1218494,-0.967949,0.4000556,-0.1025602,0.3642318,-0.2962744
0.43496644,-0.060982168,0.3027777,-0.027835086,0.2847581,-0.5352816,-1.2908059,-0.75432134,0.3999849,-0.1160821,0.4843414,-0.2601525
0.44845697,-0.122399256,0.27731946,-0.07539183,0.2320602,-0.660096,-1.3645092,-0.6246974,0.3999991,-0.1357815,0.5330667,-0.2192781
0.46258944,-0.17837791,0.24326704,-0.15413731,0.13364302,-0.7231639,-1.3870009,-0.45264533,0.39996344,-0.16205381,0.5712332,-0.16394763
0.46029216,-0.25687686,0.13289048,-0.2978896,-0.06824057,-1.0728949,-1.2819482,-0.04476182,0.3999617,-0.20760499,0.6295618,-0.03078366
0.44954303,-0.28058842,0.06107582,-0.3040732,-0.18187125,-1.195975,-1.1284077,0.140657,0.34361014,-0.24440116,0.6409407,0.056632016
0.6559465,-0.41013882,0.4000002,0.07756185,-0.38288495,-0.46023166,-0.3880283,0.110141575,-0.0720658,-0.22354655,0.6233656,-0.15439665
1.0031762,0.05965113,0.4000002,0.09117656,-0.14158224,-0.5294211,-0.3428652,-0.06296413,-0.070852414,0.15243267,0.1599284,-0.81188697
0.86107516,0.5861262,0.40000007,0.11653078,0.034455102,-0.5546843,-0.36468282,-0.16349787,-0.07237225,0.15252244,-0.21493436,-0.7709092
0.6575703,0.8306226,0.39999998,0.13055475,0.17568235,-0.5088697,-0.3615373,-0.26052183,-0.1188958,0.053941634,-0.53705025,-0.6190871
0.53553563,0.8755005,0.18230867,0.16445535,0.2741619,-0.40971336,-0.3851988,-0.37178743,-0.13456744,-0.097791955,-0.52470994,-0.29635355
0.36435154,0.66249347,0.07812569,0.13177367,0.30144915,-0.45601726,-0.3983976,-0.6530956,0.19877948,-0.16597894,-0.20270239,-0.122565866
