base_vel_x,base_vel_y,base_vel_z,base_vel_yaw
-0.0016627253,-0.0030916703,1.0007355,-0.0054141195
0.3015321,-0.05340131,-0.40285686,-0.29522246
0.59110254,0.03507344,-0.19481061,-0.47631896
0.66043764,0.060529657,-0.19662458,-0.23337802
0.59177357,0.06362022,-0.04754521,-0.11288165
0.74022865,0.026282148,0.017944885,0.10115964
0.7404789,0.04758582,0.07388074,0.20546043
0.7567811,0.1921262,0.17781131,0.21277735
0.72109526,0.08064876,-0.13502964,-0.37050602
0.8417392,0.0262327,-0.12326826,-0.016589083
0.89825207,-0.02509179,-0.50186515,-0.16929781
0.7805375,0.040875696,-0.079281375,-0.21220241
0.76362926,0.112608224,-0.023571594,0.010467151
0.76875466,0.19993983,0.015357255,0.0011789217
0.77914023,0.13356884,-0.015038991,0.39004484
0.7034075,0.033341583,-0.0045210076,-0.2694352
0.8624752,-0.04629993,-0.18966842,-0.18171385
0.81284785,-0.059782278,-0.44254482,-0.32114083
0.7415667,0.042240437,0.016053008,0.04020041
0.759429,0.055783015,-0.014280171,0.090652466
0.7525688,0.1230874,0.03413987,0.03303664
0.82492954,0.08469853,-0.01955127,0.36245748
0.7722369,0.038722225,-0.02558587,-0.11463767
0.90262187,-0.0019141259,-0.16631831,-0.13318963
0.95955884,-0.059148878,-0.38756734,-0.2605226
0.7558453,0.055768274,-0.03376375,0.090387456
0.7466418,0.10830375,-0.030526655,0.25556588
0.7375316,0.1467361,0.008554472,0.13051827
0.72120833,0.18262383,0.03608687,0.022408046
0.7197981,0.1521143,0.0009404463,0.36301962
0.67822963,0.07451032,-0.076218225,-0.22813478
0.7997656,-0.011947211,-0.109992355,-0.18200216
0.89601094,-0.03163275,-0.22396334,-0.19171804
0.7852405,-0.04809742,-0.31026238,0.6781427
0.78358334,0.03562857,0.015051021,-0.08174355
0.8401489,0.087228745,-0.007072849,0.13423838
0.77702135,0.1172464,-0.06603021,0.050094698
0.75052977,0.124135174,0.038495015,0.062030263
0.74976367,0.06044806,-0.30375436,0.18354335
0.73043513,0.0349771,-0.02196169,-0.14358406
0.87143946,-0.043082282,-0.20111354,-0.12917368
0.70066077,-0.010288761,-0.06811096,0.49995044
0.76834065,0.043768357,0.017351095,0.04648312
0.8092227,0.06449984,0.0020312194,-0.036102425
0.7818963,0.12078982,-0.0045771273,0.11693027
0.8314081,0.04085961,-0.11546567,0.6401526
0.8018908,0.02655267,-0.05509004,-0.14424764
0.9743729,-0.009426047,-0.2533434,-0.10633663
0.834071,-0.029338656,-0.267512,-0.17566201
0.8209735,0.08566028,-0.022472247,0.114595085
0.7391142,0.09125862,-0.017641466,-0.06302964
0.78058875,0.14084607,0.033086974,0.16956942
0.75711864,0.103884965,-0.061025083,0.22162916
0.7047025,0.04055929,-0.114908636,-0.33112878
