feet_1,feet_2,feet_3,feet_4
0.0,0.0,0.0,0.0
244.33916,76.887474,135.07408,128.79639
0.0,139.89154,120.077835,0.0
0.0,86.8222,27.35478,0.0
0.0,18.083324,0.0,106.57749
68.58897,31.318491,0.0,99.72094
65.1549,0.0,0.0,119.194855
61.930656,0.0,0.0,111.83094
84.65102,0.0,0.0,67.65601
0.0,163.19746,86.97919,0.0
0.0,81.33105,50.86742,0.0
0.0,70.316986,0.0,128.91043
134.28354,44.09881,0.0,109.19688
69.5495,40.869465,0.0,90.09372
69.405624,0.0,0.0,122.817764
0.0,0.0,0.0,45.498367
0.0,131.66115,90.19141,0.0
0.0,65.90098,52.257366,0.0
0.0,67.930275,39.7432,0.0
85.202095,68.613594,0.0,84.58027
76.196365,0.0,0.0,115.8585
61.85189,0.0,0.0,133.00737
0.0,0.0,0.0,68.1138
0.0,130.45576,99.98747,0.0
0.0,130.1862,73.5876,0.0
0.0,79.45739,66.34361,0.0
77.87271,52.648754,0.0,66.87616
81.29924,79.97026,0.0,98.016495
61.50471,9.377246,0.0,88.05004
83.326675,0.0,0.0,123.089516
44.913967,0.0,0.0,131.35114
0.0,108.82848,174.03851,0.0
0.0,112.25421,57.19474,0.0
0.0,87.399574,42.69462,0.0
174.8898,0.0,0.0,217.60788
91.765785,50.71476,0.0,73.802444
68.49328,7.345449,0.0,78.99475
77.283775,0.0,0.0,111.15544
51.07711,0.0,0.0,128.19064
0.0,154.80318,170.04393,0.0
0.0,129.5525,63.38896,0.0
0.0,41.367397,21.400463,0.0
129.1246,37.92931,0.0,116.73963
55.54949,63.635033,0.0,104.12153
65.04376,0.0,0.0,131.1907
50.88693,0.0,0.0,136.99939
0.0,194.9812,87.49121,0.0
0.0,108.14328,50.096386,0.0
0.0,46.916164,29.493326,0.0
139.5519,37.51216,0.0,101.75415
71.540794,30.91172,0.0,76.62526
70.64788,0.0,0.0,92.720825
69.84292,0.0,0.0,138.31248
0.0,241.283,0.0,0.0
0.0,121.59967,76.00445,0.0
0.0,76.21712,40.55441,0.0
90.990654,88.624405,0.0,81.10813
71.21322,0.0,0.0,98.21832
53.51873,0.0,0.0,134.24832
0.0,217.33386,0.0,0.0
0.0,125.22702,75.26618,0.0
0.0,69.19199,70.015526,0.0
91.54795,0.0,0.0,195.40695
89.505745,24.170015,0.0,75.042946
76.64869,38.5622,0.0,103.0891
62.972443,0.0,0.0,133.91092
68.29912,0.0,0.0,114.77257
0.0,157.43752,85.42357,0.0
0.0,90.76888,47.877117,0.0
0.0,44.780933,23.80881,0.0
88.83577,56.71496,0.0,103.58876
67.8207,27.67692,0.0,76.07081
86.697205,0.0,0.0,139.95969
0.0,0.0,0.0,0.0
0.0,140.79288,79.169235,0.0
0.0,57.57693,46.32303,0.0
123.63313,39.207886,0.0,107.534424
68.06299,55.023594,0.0,99.27044
86.03779,0.0,0.0,118.96826
66.62915,0.0,0.0,61.64975
0.0,147.99791,130.95744,0.0
0.0,98.30122,49.538895,0.0
0.0,47.907757,49.09359,124.375244
89.14671,49.282467,0.0,67.80803
69.8475,41.135857,0.0,115.92449
55.999123,0.0,0.0,100.68809
0.0,0.0,0.0,0.0
0.0,127.76218,72.69629,0.0
0.0,99.038925,65.55435,0.0
139.71323,0.0,0.0,154.13867
63.36108,17.467926,0.0,59.423386
74.04269,0.0,0.0,94.381424
63.608646,0.0,0.0,139.79872
0.0,170.33794,68.48601,0.0
0.0,92.231186,50.88616,0.0
0.0,37.618374,23.553894,0.0
111.00067,37.355507,0.0,90.9158
68.249695,39.334743,0.0,87.09122
74.23313,0.0,0.0,110.38897
0.0,0.0,0.0,0.0
0.0,154.03339,94.36289,0.0
0.0,100.14074,51.422203,0.0
0.0,49.15082,24.105635,0.0
101.38785,60.233044,0.0,101.280594
40.473686,36.82593,0.0,78.14226
74.130806,0.0,0.0,124.798164
37.634003,0.0,0.0,131.39626
0.0,145.0655,107.04638,0.0
0.0,76.456024,53.32685,0.0
162.31924,0.0,0.0,157.21379
75.166954,40.534435,0.0,78.37572
77.896576,0.0,0.0,85.80302
71.0157,0.0,0.0,147.53708
0.0,0.0,0.0,0.0
0.0,145.21121,72.80921,0.0
0.0,108.103264,57.591595,0.0
0.0,42.021267,30.527061,0.0
116.23932,75.50567,0.0,103.06689
60.742176,34.972687,0.0,79.65379
79.05779,0.0,0.0,115.96686
39.8379,0.0,0.0,141.79451
0.0,153.99333,104.05299,0.0
0.0,93.36596,55.005466,0.0
196.69888,63.45629,0.0,152.94405
99.91991,25.0157,0.0,93.396965
69.03109,41.990044,0.0,84.8131
64.22364,0.0,0.0,122.907845
52.58731,0.0,0.0,124.540794
0.0,186.10194,90.80261,0.0
0.0,108.58636,69.50038,0.0
0.0,69.72225,60.222633,0.0
145.80382,0.0,0.0,127.56207
61.0262,42.26921,0.0,75.639404
73.848465,0.0,0.0,113.87395
62.12845,0.0,0.0,137.55295
0.0,186.26068,92.50376,0.0
0.0,79.00741,36.045284,0.0
0.0,0.0,42.483772,192.07117
82.395996,51.012413,0.0,75.10541
57.655952,5.6610384,0.0,87.03031
60.22532,0.0,0.0,101.53292
43.2234,0.0,0.0,129.76077
0.0,158.08032,93.61966,0.0
0.0,99.87522,57.208042,0.0
0.0,56.469177,41.29555,0.0
149.1551,38.55921,0.0,158.03278
64.67227,32.088585,0.0,75.790115
78.36836,0.0,0.0,116.33545
95.42652,0.0,0.0,112.33192
0.0,109.7414,79.58429,0.0
0.0,75.76332,29.965725,0.0
85.29241,48.033722,0.0,75.50254
74.51985,31.029125,0.0,90.088524
54.734535,0.0,0.0,107.11388
0.0,0.0,0.0,52.00014
0.0,132.48547,77.46112,0.0
0.0,102.14397,71.730934,0.0
0.0,28.072617,23.129686,0.0
89.51467,59.753788,0.0,93.57315
65.09157,0.0,0.0,82.26941
76.24575,0.0,0.0,123.67386
0.0,0.0,0.0,0.0
0.0,132.92853,69.47857,0.0
0.0,66.514786,32.064064,0.0
116.09686,65.30667,0.0,127.91864
64.47892,23.840593,0.0,84.33605
78.743546,0.0,0.0,91.77183
40.951756,0.0,0.0,149.47978
0.0,158.79369,82.03765,0.0
0.0,85.6051,47.73095,0.0
0.0,34.622173,46.814976,100.80427
81.83993,55.97064,0.0,95.6347
89.59353,28.673004,0.0,95.072266
72.38734,0.0,0.0,141.14845
46.268715,0.0,0.0,33.081593
0.0,138.88985,79.94537,0.0
0.0,86.03792,37.648125,0.0
153.40872,14.861786,0.0,134.85385
65.56404,43.440746,0.0,67.137436
70.70569,0.0,0.0,109.759056
47.385754,0.0,0.0,137.39195
63.243263,0.0,0.0,99.44443
0.0,196.10924,120.94052,0.0
0.0,109.11872,71.33176,0.0
0.0,67.703705,48.493896,0.0
118.025276,0.0,0.0,166.94666
91.594185,29.803232,0.0,86.20828
74.226555,0.0,0.0,94.381805
80.0855,0.0,0.0,125.27108
67.847404,0.0,0.0,146.0307
0.0,0.0,0.0,0.0
0.0,112.433495,65.31733,0.0
0.0,104.771,68.93415,0.0
188.09871,82.93369,0.0,138.42169
110.093704,59.99475,0.0,100.52787
68.05288,33.72158,0.0,95.46122
73.82964,0.0,0.0,133.49803
