Joint_1,Joint_2,Joint_3,Joint_4,Joint_5,Joint_6,Joint_7,Joint_8,Joint_9,Joint_10,Joint_11,Joint_12
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.5648265,-2.8876917,-2.8919322,14.076999,-7.777562,15.14222,13.981185,-5.96919,-11.821739,4.303248,2.8234746,-1.4793038
-1.6462085,0.04145816,2.0876284,9.404721,1.5805271,16.0103,8.494463,-14.162006,-16.939787,0.66114306,-1.3764441,0.30288196
0.29134667,-0.49034297,0.5333559,4.113508,0.0144792795,9.689208,7.4910874,-6.0333004,-6.033848,0.48573413,-0.38359886,-0.06716478
0.120829344,-0.80118275,0.6151495,-0.049999237,-6.257811,0.43129694,2.3416328,-0.78150487,-1.0022836,-1.187651,1.3446662,19.000349
-7.5130296,-3.5139809,-4.7942686,1.0348393,-11.659126,-1.0144525,0.79256773,0.7679813,1.2937516,2.28302,6.625639,20.0
-6.1801653,-1.2446028,-3.1783032,1.2619796,-12.39949,5.663515,-2.4106288,1.2899232,1.3917747,-0.43162042,0.6110716,17.974487
-7.340207,2.2174785,-1.4332145,-1.5318441,-2.9998007,-2.131836,0.17025876,-0.7983024,3.1169858,-3.9035628,-1.6922448,13.674583
-6.1759725,5.1356397,9.541176,0.47971916,1.1365824,0.40262318,-0.3085208,-1.5329137,0.40796694,0.55055714,-7.7272787,4.7082033
-0.5165279,0.17669106,14.360653,5.9187055,4.880606,17.018473,13.602428,-4.713669,-3.5970197,-3.1095715,1.4418368,0.009077311
0.6136626,-1.6841767,2.2717576,5.8598123,2.0111647,7.9958286,6.2073374,-3.1800928,-2.2601995,1.474681,1.4232554,-0.56264687
-0.80987406,-0.05869913,-2.6424375,1.6801966,-3.4558976,-2.58489,-0.41155517,-2.3269887,7.578366,-0.41499853,2.0906205,2.232263
-9.696827,-4.537988,-5.771388,2.666011,-5.5143356,4.013648,-0.081156254,-0.6625562,0.50955796,-3.5279474,6.7462506,11.409151
-8.615054,-1.3261847,-4.3782396,-1.0432925,-3.2930744,-4.2010646,0.27982593,-0.10489035,1.4206144,-6.142243,0.7988155,9.241645
-8.597522,1.7221692,0.90999806,0.12392187,1.4873757,0.578871,0.5005108,-1.2788262,2.438131,-5.264216,-6.0095067,7.331544
0.90662843,-0.14019227,7.717236,0.3318386,0.8356352,-1.8663864,0.6015196,-2.3757505,3.6927285,1.3584509,-7.545096,-1.7384162
0.4410466,-1.4106593,10.681616,7.8437324,2.4251316,16.267769,13.261239,-5.957614,-3.3329823,-0.0073886365,1.5202439,-0.30667314
1.0670456,-1.0976973,1.065501,5.8106103,-0.6510582,7.001226,8.361679,-3.5963168,-2.213836,1.0490718,1.078397,-0.5168605
-18.911499,-1.8117785,-13.847858,-0.037823975,-5.340787,2.2908142,-3.0630352,2.6595006,-10.587378,-5.6817946,6.2748566,16.527063
-8.25615,-1.1691201,-6.443718,0.7964239,-4.4999676,-1.0362926,0.20752501,0.7759199,0.07509568,-3.2329433,7.4067965,10.586249
-7.1983647,0.8299677,-3.398685,0.099200666,-4.303572,1.0729748,0.08067,-0.34853995,1.1348407,-4.127117,2.6305451,10.933379
-9.924393,3.1171544,0.6266823,0.10070276,1.4126705,0.74437237,-0.06702835,-1.2003074,1.6878126,-6.11438,-7.427244,6.608493
-0.9546678,3.7814054,-6.430794,-0.22182417,0.58029294,-0.6354432,0.6247821,-2.314456,2.0263088,-1.7847108,-7.97339,0.42730308
-1.2076203,-0.67341423,9.883056,6.2095833,4.623707,16.308825,11.793514,-8.816899,-4.337466,-0.36150336,1.5795636,0.71591556
1.0991802,-1.3209271,0.6696893,5.5475764,1.9715352,12.165914,10.131122,-5.539882,-2.811448,0.7603631,0.8245802,-1.8345847
1.2436419,-0.8561872,1.8931255,2.634,-3.014246,0.28114665,6.77944,-1.20897,0.72124755,-0.3113165,0.15477777,-1.5630951
-12.177753,-3.9823604,-9.935123,1.940121,-4.93059,1.2448474,-0.11856747,-1.0876024,3.6709785,-5.408124,7.4276457,12.366085
-5.1719403,-2.6444478,-2.4844592,0.73089653,-7.476037,-0.50439334,0.9060594,1.0269055,0.7849801,-0.8361927,4.306655,10.091725
-7.034891,0.39020765,-4.386698,-1.4862823,-3.46248,-6.043556,0.20486605,-0.052149534,0.034080982,-3.3900304,2.2966704,11.399082
