Joint_1,Joint_2,Joint_3,Joint_4,Joint_5,Joint_6,Joint_7,Joint_8,Joint_9,Joint_10,Joint_11,Joint_12
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.39725158,13.845943,-0.076267205,7.398791,-4.826707,14.00676,-1.1867954,0.48563367,2.7381732,-6.88589,-21.868044,0.9276343
-0.84949183,-4.802779,-2.492326,2.2733293,1.1616892,-0.5670292,-2.5513096,-0.5217851,2.871552,-0.8310608,12.80178,4.337582
2.125411,-2.640801,1.1267536,1.7301522,1.4064498,1.5476942,1.7183354,-8.485846,-0.7859683,-1.2688848,3.4340901,-1.878966
0.5284789,-3.4033127,0.09366696,1.1557642,1.134113,3.4398215,-5.6550384,-4.448035,-0.010451953,-0.50050545,4.600874,-0.57338154
0.47661734,-1.7354307,-2.249857,5.3105493,-1.3883247,7.1227813,-4.1887383,5.8331556,-0.011001922,-0.8484248,3.524077,0.94710493
0.3032444,-0.9490167,-3.5634215,-11.1989975,0.34313244,-29.04066,-4.7176757,9.166811,0.004757745,-2.1142857,1.1498075,3.2857661
-2.3797538,-0.23086263,-4.9865675,5.22114,-4.8372235,4.1010346,15.465068,4.424001,-1.4126526,-1.9515189,-0.39048016,5.2860713
-1.9304839,12.530397,-0.00035921123,2.1191406,1.0406901,2.4373868,-0.54809976,-1.8873423,-0.03683266,1.986682,-10.275674,-1.4561949
-6.236329,0.24174155,-6.484987,1.6291807,1.8760897,2.3355086,-1.20458,-2.6609387,-0.39846426,-5.2456503,3.4483786,8.910982
1.9438143,-5.091141,4.211431,0.023528337,3.911047,0.067203835,-6.055952,-2.9262717,-0.043558538,1.0889089,4.827371,-3.5547266
-0.6274156,-3.67392,0.19331756,0.4437709,0.74688876,3.7249067,-6.0130353,3.629943,-1.0082479,0.68932015,4.045374,-0.55033547
0.46460024,-3.5243635,-0.79553837,-4.183674,-5.1531267,-3.463649,-3.8930962,6.1207447,-0.00074705423,-0.57244027,3.3338819,1.148583
-0.7688634,-1.0997651,-3.838872,0.6201991,-2.98371,-3.9123986,7.749843,9.643709,-2.3063505,-1.4961902,0.49880198,4.543959
2.3699396,10.921263,-0.00034814124,-0.22730988,5.65671,-2.6782353,-0.8535861,-3.2800603,1.1960143,3.900075,-11.691931,-5.631777
-4.064178,8.427242,-5.5913028e-05,-0.5900809,5.124745,0.03736203,1.1521949,-2.2407653,-2.215404,-3.2371871,-7.081995,0.8720756
-1.8179418,-4.954924,-1.6855067,0.7694199,1.9309384,2.9333775,-1.1252519,-2.699667,-0.7828109,-4.2122607,8.427512,4.6758156
0.38161677,-4.1987257,1.7766322,0.08485699,2.9290287,1.8653297,-6.947708,-6.2791247,-0.011212299,0.5411406,4.7034836,-1.7689948
-0.0023855492,-3.9179926,-0.02775028,0.6671057,0.91134334,3.976006,-4.5266795,2.255001,-0.019984655,-0.3715307,3.7631772,0.52736753
0.53007483,-3.2061386,-1.4673568,-3.6104977,-3.3882384,-3.0864255,-2.5727139,6.978894,5.3993543e-05,-0.613518,2.8758597,2.002272
-1.0342082,-0.31273627,-4.547713,-2.1577592,-6.516718,-4.795886,3.9276443,11.604192,0.011740276,-1.5093288,0.72604674,3.9699373
4.84152,10.817097,-0.0004034454,-1.7493505,7.932998,-8.505561,-6.9576163,-7.484691,11.24646,9.606107,-12.050493,-8.61322
-2.8424284,8.516257,-0.000207646,0.16424555,2.946275,1.5961089,0.5775966,-1.6997075,-2.3135664,-2.4689238,-9.86373,0.28909165
-4.53204,-2.1827545,-6.9359965,0.7947381,2.1356318,2.9144807,0.4876182,-2.9097643,-0.7783595,-4.54825,5.163251,10.526525
2.7809954,-5.7598343,5.442858,0.23606436,2.5035295,2.2032933,-7.076725,-3.3967748,0.13681367,0.709496,5.2081523,-4.194942
-0.20257056,-4.7653456,1.0042977,1.0350224,0.38956532,4.909975,-3.7599998,-1.1705862,0.00077912817,0.1343557,4.3663764,-0.026439235
0.6978741,-3.7788827,-0.46224958,-3.7209606,-6.972056,-3.9784417,-5.0140605,6.7764583,2.827961e-06,-0.6168991,3.42493,0.94695944
-0.09665249,-2.1378825,-2.6663833,-5.7176275,-5.527797,-5.750923,0.63649714,10.697939,0.5005091,-0.8366377,1.8044376,3.2215552
-2.8927062,2.8750143,-0.6595568,4.466172,-6.153069,1.7088344,15.247402,5.1895413,-3.668852,-1.0510461,0.4866501,4.4203005
2.9944432,12.703618,-0.00035785924,-4.239875,9.340878,-10.573854,0.7943738,-3.336574,0.09682381,5.3782897,-16.432632,-4.835118
-2.4918082,9.64105,-6.265209e-05,0.5487315,4.1989255,0.8471326,-0.31699508,-2.6790392,-1.0656567,-4.8857484,-6.3511252,-0.082059465
-2.4660332,-1.926342,-2.801558,0.7441672,2.7983139,2.577605,-0.82722336,-2.6161332,-1.3553935,-4.793469,5.0273905,5.7126403
3.411389,-6.5792265,6.1975484,0.050321735,0.65835434,-0.62794477,-3.9826062,-3.8053737,-0.74963415,-0.39537537,5.7494407,-4.1464925
-0.18802533,-3.6827369,0.3128903,1.5175511,0.2990885,4.556833,-6.0382695,-3.4158921,-0.011349555,-0.11488495,4.6139584,-0.4076185
-0.30740142,-4.06894,-0.37411106,2.0003514,-0.90733683,5.985583,-5.262366,5.2986727,1.3620658,-0.25763062,3.9229703,0.76710176
-0.34247285,-2.5512526,-2.3985283,-6.574738,-5.5886164,-7.653302,-3.6139212,10.135786,0.005915752,-0.98102665,2.1239376,2.9071724
-0.04945851,-1.6741012,-3.713943,-0.951669,-7.6625867,-5.102676,7.7996902,10.854222,-0.14995162,-2.204001,0.26427987,5.5214696
13.798981,10.367227,-0.00038051145,-1.4911057,9.09016,-10.083986,-6.681287,-4.960397,7.643121,13.001705,-17.641499,-6.673162
-2.7316945,11.138265,-0.00016751146,0.083261356,3.672595,0.9606825,0.23025665,-2.3778832,-1.3782659,-3.11448,-9.960236,2.5440602
-1.9807355,1.2617139,-6.312837,0.42209002,3.3674443,2.217942,-0.45386568,-2.5946307,-1.9057711,-4.7263465,2.0917563,4.945019
3.93725,-5.9083557,6.1702724,-0.048713997,-3.1287138,-8.043622,-8.420801,-11.554011,32.63567,0.8546461,5.519909,-5.8562193
0.0006469488,-4.325792,0.23028764,1.0686257,0.60710055,4.319267,-3.4709706,-0.061184507,0.2468662,-0.8995341,3.6941278,1.0127844
-0.09867868,-3.8772423,-0.80651265,-3.1802862,-4.654031,-1.8176556,-4.060421,5.935462,0.00013393024,-0.5759765,3.1506326,1.501985
-0.44916302,-1.3411236,-3.7758117,-2.691906,-4.12652,-4.4252596,3.4209616,10.220849,0.0038500521,-1.5895244,0.8304571,4.50839
8.407543,-0.21324416,-0.00036926143,13.621957,-3.975026,21.635832,24.168304,-3.9364247,-19.896376,10.334063,5.3046594,-33.333267
-2.219026,13.167947,-0.00015202322,0.21656282,5.11893,-0.5280748,0.1781763,-2.4799547,-1.2444662,-4.8259478,-10.951214,0.9527305
-1.8887318,0.13019484,-1.4863933,-0.0028767409,3.5391214,1.7038254,0.13526726,-2.2814221,-1.807183,-2.1473863,-1.8356824,0.92858666
-1.260721,-4.062371,3.9419122,-4.831238,6.7357492,-2.0589457,6.10798,-2.925853,-5.20718,10.356386,7.2919173,-16.81134
0.5720326,-3.7486048,0.79159915,1.2807935,1.0779444,3.539943,-4.1107254,-3.0765655,-0.014285449,-0.3048446,3.787321,-0.10893646
-0.5566962,-3.1366286,-0.9564752,-1.4319156,-1.636094,2.2227428,-5.684549,5.7070913,0.00160407,-0.100928925,2.9208567,1.0420432
-0.0076934556,-2.304046,-2.5240982,-4.6824775,-4.295441,-7.983491,-0.58849925,9.961117,0.000520051,-1.3978535,1.4927454,3.272909
3.5805113,-7.631479,0.06496048,7.5169215,-2.5675907,3.2894197,15.293517,1.2725863,-3.4243693,-1.8372502,0.32005185,4.395328
-2.057212,14.429977,-0.00028097193,0.76636815,4.874063,-0.6512869,-0.22166225,-2.4101243,-0.42631108,1.1924808,-9.525399,-1.8850479
-4.7878256,7.1246705,-1.3581847,0.57056963,2.7077465,2.141058,-0.1382383,-2.2686841,-1.4304644,-2.65706,-6.419228,7.341642
-11.781898,-4.0187407,-25.677738,-0.12288113,2.5302408,-10.933014,-4.1052084,-11.224257,23.711735,3.4044235,8.106003,-13.283948
-0.38234133,-4.235321,1.0344056,0.63187313,0.99794567,3.792557,-5.8525844,-3.1606138,-0.0030891132,0.58165693,4.8734875,-1.0449919
0.3441187,-2.7053132,-2.1298072,-6.4216485,-5.1073017,-6.4695415,-3.3892078,8.249259,-0.004187163,-1.4336699,1.8305892,3.5333889
8.926251,-1.5192792,-0.0002839585,12.598212,-3.062407,13.754818,20.094648,-5.8189254,-3.975424,1.5065554,-7.098457,7.253094
-3.147258,12.051545,-0.00023783074,0.5495344,4.1169105,0.83590543,0.5016705,-2.043946,-2.0572395,-2.2010362,-9.562646,-0.81140196
-5.8950624,4.3870454,-12.282656,0.88539237,3.1021733,2.243012,-0.6839863,-2.5761395,-0.9709016,-4.743879,-0.9992996,13.062145
2.8472788,-6.0388517,5.6893806,-2.300158,7.1566076,2.0711746,-2.8328583,-5.2551975,-0.051862925,1.2921894,5.682903,-4.6806736
-0.8803432,-4.2218766,0.41025788,0.928978,-0.090656996,3.7351725,-4.461083,1.6157293,0.006343589,0.9252355,4.7001643,-0.9392847
-0.078777745,-3.5339582,-0.77696615,-3.8477645,2.7706215,-20.054659,-4.781898,5.609918,-6.222166e-05,-0.31893122,3.2502654,0.87932396
0.13872892,-1.8290445,-3.0605068,-3.6235013,-5.3214664,-5.021389,1.028314,8.971462,0.0042046206,-1.5018845,1.399779,3.796263
2.0651584,-3.7016597,-0.89309835,6.8251367,-5.1001005,1.4106504,15.228778,3.133738,-2.8109694,-2.4824162,0.12289827,5.010651
-0.07881444,13.187012,-0.00027494313,1.0563316,4.21572,0.289926,-0.27161783,-2.3226585,-0.7191746,-0.25774834,-10.7479725,-2.80714
-2.379188,4.8966737,-3.358812e-05,0.6104184,2.7454333,2.347823,-0.53254664,-2.230418,-1.5228124,-4.2127485,-5.280463,1.7912805
3.9841383,-5.6127386,6.4986334,0.5954475,3.4448814,1.6476421,1.6665183,-4.386633,-4.113153,2.6023886,6.5395284,-9.42618
-0.13426292,-4.4268994,1.2744956,0.41949826,1.195999,3.727789,-6.5435147,-2.5858014,-0.008759536,0.47636396,4.6541314,-0.72203267
0.7666975,-4.4148693,0.11470775,2.6268787,-0.7232717,5.94185,-2.663166,4.0976057,-0.034394644,-0.9047853,3.4790087,1.1875393
-0.522049,-1.0651612,-3.3132372,-6.857607,-5.3619895,-13.359899,-1.9944421,9.72331,-5.924178e-05,-1.3655428,1.0336614,3.3285117
-1.0895581,-1.4025619,-3.719456,2.8800902,-5.4141245,-0.7834168,12.344808,8.646401,-0.5641961,-2.487547,-0.58827186,6.1939716
-2.2317705,14.197784,-0.00015998245,0.33083364,4.3950386,0.14023551,0.006620346,-2.5353339,-0.89918554,-3.4704134,-14.291177,0.69110537
-4.1311855,1.1115159,-1.7608596,0.5734354,3.008883,2.427859,-0.4968724,-2.7084544,-1.1175051,-3.6828203,0.7475712,3.7556326
2.9206736,-6.2918196,5.801144,-0.8087339,5.011858,-6.356895,-3.886204,-0.9303,1.0794667,3.8966308,7.6341753,-12.226736
-0.5724248,-3.2509131,-0.36598086,0.869516,-0.18103367,4.2472653,-3.2459838,-1.3864028,-0.013746172,-0.209064,3.60585,-0.30921268
-0.24173197,-3.2348042,-1.2238704,-1.7300017,-2.4374127,-7.399703,-3.6256328,6.122184,-0.0009352765,-0.5476898,2.9566393,1.6288984
-0.19765723,-1.0369931,-3.872229,-4.3023667,-4.6207557,-7.5521874,-0.11798944,8.876642,0.0040992475,-1.5460912,1.4943585,3.4336877
10.213247,1.0976043,-0.00043356756,-5.3398643,7.8966217,-7.4669228,27.537493,-13.605676,-13.547428,17.35177,4.98761,-39.292633
-3.7591116,11.856699,-0.00014846266,0.4349309,3.3468468,1.2762029,0.28010178,-1.9990976,-1.9481857,-2.6360872,-12.392206,2.0575078
-5.3045073,2.119024,-7.7841473,1.1159884,2.9221885,2.5391953,-0.96140254,-2.4877706,-1.2816525,-5.4542265,4.2658367,10.189908
1.9550958,-6.1370864,5.224811,-0.6693119,-2.8502154,-2.9502413,-3.120623,-3.859205,0.0020230683,1.5671465,5.6650844,-4.5971603
-0.039978743,-4.291365,0.6499785,0.37130594,0.53193426,2.0194218,-6.660878,-0.3869366,-0.008259621,0.025889143,4.4102654,-0.5631166
-0.38026032,-2.964682,-1.2501849,-3.2997994,-2.8467994,-9.752481,-3.110073,6.686419,0.0002639629,-0.16477841,2.7028022,1.2657708
-0.29214305,-1.5669091,-3.5427399,-3.3136823,-7.8134093,-7.894519,3.72868,11.166113,0.0011634929,-2.0006115,0.4831276,4.733259
10.694577,8.687793,-0.00039846997,-5.1280923,10.346771,-12.992377,-0.9645163,-4.640323,3.5708694,15.254447,-9.150243,-26.02976
-3.9327886,7.735187,-0.00010766901,0.012583105,3.4076557,1.4044447,0.05561257,-2.5706794,-0.86879605,-3.6391685,-7.8961725,2.9171884
-1.1696215,-1.2340398,-1.5668306,0.7670067,1.9115055,3.0432398,-1.0486007,-3.0045934,-0.4542706,-3.4541066,2.878519,3.299489
0.734388,-4.9981713,3.440732,-1.0280366,4.2399616,0.7613294,-8.307548,-6.149886,-0.06958905,1.8130966,5.486537,-3.7956412
-0.28065073,-4.540287,0.6050755,1.16784,-0.8344035,3.8294065,-3.161771,2.4884179,0.8981025,0.13776605,4.203507,-0.011463821
0.3432952,-3.2531974,-1.3538694,-5.557307,-4.836026,-11.203509,-4.1613927,6.6677513,-0.00065784645,-0.8315481,2.7825098,1.9552305
-1.1548631,-0.8897611,-4.010468,0.029933222,-10.246996,-4.1648407,9.019127,11.487316,-1.1207737,-1.4353763,0.18969333,4.9494085
5.986046,10.497758,-0.0003963547,-2.2356606,7.4964113,-8.324192,-6.8901653,-7.61237,11.062622,8.962628,-15.606893,-7.3791013
-3.09876,6.7168894,-2.790916,0.5132827,3.225254,1.9287317,-0.3568664,-2.4791641,-1.7424443,-5.134935,-8.892705,8.763969
3.4678876,-6.3882084,6.57885,1.1295156,6.044896,0.91440296,-0.8353409,-3.4370503,1.8748529,1.2728927,6.045398,-5.6703653
0.042289335,-4.3840613,0.9521577,1.6800181,-0.20400485,5.00697,-4.101619,-1.5930387,-0.015149051,-0.025266556,4.3937025,-0.38784245
-0.08755759,-3.5457144,-0.8200139,-4.53789,-2.8183262,-13.8330965,-3.1160774,7.679286,-0.00021715183,-0.47424805,2.8591747,1.3651743
-0.4303284,-2.0487888,-2.9171534,-5.0511584,-8.382588,-5.3016706,2.308517,9.152971,-0.00047733728,-1.4803472,0.76618725,4.3729186
13.607025,8.471476,-0.00040249428,-0.3439737,7.0472665,-8.04718,-7.9683986,-5.9500737,9.880084,9.646708,-6.593435,-30.407179
-4.576993,8.320289,-0.00010455088,-0.053551733,2.4823725,2.039927,0.46833315,-2.2031648,-1.5071484,-3.250945,-8.011914,2.5626254
-2.5418646,-1.5537949,-1.9230438,-0.042300776,2.1478286,2.8464031,0.31151065,-2.4009871,-1.5267342,-3.9501393,0.013852896,2.9824312
1.6205653,-5.1493735,3.9494512,-0.4036047,2.6404605,1.3956432,-6.4179993,-4.958075,-0.03903703,1.0392164,4.924411,-4.3988113
0.4272809,-3.962472,0.5030257,1.8264618,0.094826244,4.7146482,-2.8316414,-2.2842488,-0.105456665,-0.8243252,3.9135082,0.33109045
-0.31795824,-3.3106487,-0.99346983,-2.2616217,-4.3269644,1.2698187,-6.3210025,7.0516434,0.0030593227,-0.15633564,3.4202583,0.62698585
-0.3401015,-1.6665447,-3.5260377,-5.3126783,-5.156142,-7.2646737,-0.21494196,9.057939,0.009684125,-1.3477513,1.528757,3.8591497
-1.5146363,4.6235003,0.030425213,7.4090986,-4.2404795,5.769671,16.028704,3.9144247,-2.9530225,-2.436519,0.33579957,5.287322
0.108902514,12.536359,-0.00031052623,0.4392272,4.315075,0.21311183,-0.21542683,-3.095305,-0.0105923265,1.6206385,-10.815833,-1.2366748
-2.3836846,5.733475,-1.0858575,0.08711839,3.1522398,2.12048,0.009096138,-2.4351687,-2.0457816,-6.2359014,-4.8867526,2.8019764
0.77254546,-5.084685,3.5187368,-1.4600662,4.1333904,0.7662511,-7.5939994,-5.986472,-0.0077116545,1.8851478,5.6582704,-4.1922307
-0.5219198,-3.8030019,0.1529899,1.4657415,-0.5184851,5.1162457,-2.8106077,2.70192,-0.742121,0.17040004,3.8042154,0.009239987
0.02471942,-2.89766,-1.2535019,-2.8311453,-6.6537766,1.8833296,-4.9844384,5.2866054,-0.0005663638,-0.90743464,2.3363824,1.6363207
-1.1811749,-0.8538116,-4.0776854,-6.881575,-11.035893,-7.9685636,2.3348641,12.304995,-0.00062737986,-1.5657318,0.4180641,4.5310736
11.396149,1.4746264,-0.00040641142,15.483185,1.4897653,31.997824,27.127697,-13.656824,-10.400661,14.529242,2.5105128,-35.330784
-1.0886487,11.234095,-0.0002966994,0.26080397,3.8487747,0.56096286,0.19091311,-2.5882165,-0.9593396,-1.2538081,-11.097352,-0.4014339
-4.3966274,4.5808134,-2.7538462,-0.16006084,3.5622077,1.598946,0.039342538,-2.738082,-1.7339742,-5.089993,-6.071676,4.32031
-7.291091,-8.402821,-0.31069738,0.39037666,1.9441465,3.02908,-1.6479881,-3.326054,-0.28374124,-3.6130183,13.339496,5.2074847
0.5727311,-3.5971951,0.54052144,2.033742,0.16896844,4.383109,-4.196136,-4.763283,-0.01116818,-0.8370169,4.092963,-0.24286641
0.03428585,-3.6097326,-0.7438535,2.2402496,-0.46029228,5.7165027,-4.544282,5.9036345,0.009085411,-0.46794122,3.634434,1.1113036
0.6840172,-2.6383045,-1.9100676,-2.963626,-5.6014867,-7.2123632,-2.471205,5.3202314,0.0030335805,-1.3349069,2.0287693,2.856844
0.33132032,-0.88472795,-4.2183523,-0.23215371,-4.6910033,-3.5466597,10.655135,10.147337,-0.14662564,-3.1978068,-0.50323427,6.2442703
0.45085362,10.498482,-0.00030411698,-0.31136763,5.2076573,-1.0635456,0.4415713,-2.5869615,-0.88861716,1.1649739,-10.793346,-2.3553023
-2.0823233,1.0001221,-1.2861077,1.1241345,2.3364902,2.791398,-0.8331361,-2.561648,-1.1106871,-2.8196435,-2.245055,1.9428746
-0.38929752,-4.6095815,5.0990496,-2.8520708,-3.7997868,-2.816999,5.04871,-2.4637084,-1.1721946,10.30793,7.9879413,-17.559357
0.46217576,-4.453818,1.5905529,0.31556165,1.8695148,2.7917733,-7.156766,-4.2686296,-0.01574134,-0.04157827,3.8115034,-0.20844865
-0.07576141,-3.5722609,-0.1798189,1.4365422,4.2648077,10.664421,-3.8305383,2.8670044,0.021012984,-0.15561765,2.9551566,0.83503467
-0.15682045,-2.4356406,-1.8940027,-4.003623,-3.4118881,-9.343343,-1.051672,8.443768,-3.1437812,-0.1249719,2.6278124,1.6143284
-2.9796622,0.8263124,-2.6439962,5.3513217,-7.374439,1.414006,14.586021,6.2727175,-3.4291155,-2.7026691,-0.53225017,5.4378448
4.4539614,13.32525,-0.00038577832,0.33157778,4.873722,-1.8422457,-0.6938045,-3.3143945,0.91404694,9.024273,-15.740659,-8.223168
-4.7738214,7.665738,-3.5271645e-05,-0.18996596,4.481542,-0.10827329,-0.1344063,-2.7747166,-0.95091325,-6.1645136,-9.261727,2.26524
-1.6102657,-0.8648217,-0.9823676,0.82096606,2.2163742,2.6051862,-0.7927015,-2.522656,-0.97021914,-1.4663646,2.752585,2.0693905
3.2270687,-4.364891,4.651875,0.32531485,2.4732425,-2.1675136,-7.795783,-11.215183,25.375263,4.57192,7.716883,-13.222969
0.72233844,-3.7704084,0.70444286,1.8670086,-0.07224105,4.433783,-2.622983,-1.1793727,0.100137316,-1.0238512,2.8013701,1.1779188
-0.5312984,-3.4098325,-0.7971842,-3.371461,-1.9039149,-11.20213,-5.015684,6.0766306,0.0026134364,0.17740077,2.8226562,1.3008053
-0.27838433,-2.409417,-2.765996,-3.7027354,-9.791094,-8.979429,5.8766675,14.567944,-0.784343,-1.7793441,0.4554758,4.835791
14.715708,6.6900363,-0.00042795832,-1.4485799,9.124295,-10.618955,-7.007757,-5.8836155,8.256709,8.515453,-13.326974,-6.1274905
-4.8296843,7.701612,-9.2584654e-05,0.5470213,2.8242946,1.9024222,0.045240007,-1.8728442,-1.9782934,-2.9385078,-7.274641,2.3694952
-7.419722,-2.9914165,-10.069331,0.7289526,1.9239502,3.0637336,0.9524344,-5.685495,9.646054,-4.695147,10.814685,15.326193
0.06400797,-4.413445,1.8500726,-0.1790712,3.0075786,1.9441086,-7.4068317,-5.059382,-0.016843237,0.9128552,4.8718166,-1.8775392
-0.02026385,-4.0492773,0.23114139,0.7661772,2.1196032,9.323724,-4.6242266,2.9956274,0.007304592,-0.025908923,3.8367913,0.031577233
0.05902545,-3.3336668,-1.456517,-3.4933586,-2.4235272,-3.1407378,-3.4726903,5.637498,-4.692888e-05,-0.3733432,2.856927,2.2891822
-0.48753482,-1.7032952,-3.2356503,-2.5257223,-5.6292915,-5.032684,4.4449964,10.904958,0.0042541083,-1.2865077,0.97606367,4.077935
9.493016,8.63645,-0.00040634652,0.53076077,5.83822,-3.7024708,-7.885006,-7.743985,12.373917,10.676358,-14.103597,-8.06668
-4.0380826,9.8179455,-8.254184e-05,-0.0987234,4.122515,0.3497878,0.4748802,-1.9185605,-2.0705843,-3.9551408,-8.711183,2.941465
-2.6894374,-0.81736207,-1.4898673,0.50805795,3.1623425,1.8350954,-0.9251668,-2.6607165,-0.75910443,-2.6701405,3.594473,1.6296242
0.646695,-5.1135073,3.519215,-1.1956329,6.5505857,1.6607327,-7.7556114,-3.7554853,-0.029345915,1.5438471,5.0025926,-3.1334765
-0.2515177,-4.1790185,0.3149655,0.64099383,0.5506504,4.068327,-4.710041,3.6280375,0.000607891,0.17013508,3.8057237,0.13468495
-0.12210545,-2.3823447,-2.3178332,-5.3090706,-5.777864,-6.2010975,-1.5674576,8.824048,0.0028073331,-0.94752,1.8785088,2.795694
