Joint_1,Joint_2,Joint_3,Joint_4,Joint_5,Joint_6,Joint_7,Joint_8,Joint_9,Joint_10,Joint_11,Joint_12,Joint_13,Joint_14,Joint_15,Joint_16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.65163493,1.4711238,-3.295407,-2.4582737e-06,0.66928923,1.4516122,3.2850516,-0.0012089941,2.104036,0.40664467,-0.7378475,3.0922703e-05,1.638193,1.6379755,3.2645116,-0.00031902664
-1.3346329,-1.0613059,1.5863794,-0.00027656555,-4.6345797,-2.771119,9.49725,33.50125,3.7968304,2.7524529,-4.9852757,-4.316332,-1.0313315,3.3646486,3.985966,-0.11887264
-3.8808987,0.5028986,4.0299683,0.10055763,1.7060999,-2.0041585,2.8381612,-2.3154778,0.039532423,4.2650733,-2.1953487,-19.515903,0.5704161,-2.0847352,5.0593286,22.271666
2.0380485,-2.905642,0.6783428,9.993653,-0.5732839,-0.056417078,3.4755025,-0.025672913,-1.2947946,0.06744512,1.3592926,-0.040327333,-3.2162457,1.0315769,-3.1251364,10.61951
3.5038974,1.2352722,4.581616,9.783665,1.1721632,1.6591598,-3.3700452,-0.028358635,3.8155842,0.26495856,-3.4708347,0.033704124,3.4319458,-3.4333096,2.1727405,-0.006490577
1.7610664,0.9258102,-0.062782586,-7.4392074e-06,-0.59520876,-2.0982385,0.32011396,-6.582969,0.6364802,-2.3765378,0.44939315,7.8027153,3.3888829,-3.2008045,-0.05654478,0.022858195
-1.7107781,2.9901593,-0.020475976,-2.797471e-06,0.55306363,-2.2182257,-1.8448822,-4.6775827,0.33246523,-2.2757123,-0.79794925,12.727339,-0.5404279,0.38155335,-0.09805286,0.013967238
-2.7724485,-3.154859,-1.7923284,-1.32251635e-05,1.8904436,-2.7711713,-3.8684983,9.627943e-05,-2.783815,-1.6356435,3.8997629,-0.06283789,-3.8953955,2.4442406,-1.1062202,-0.01449284
-0.87175894,2.6359384,-2.8999462,-38.33777,-3.076037,1.5755782,3.749605,0.030084401,-3.0964627,4.162297,3.7096395,0.02377892,-0.9112387,-1.9064391,0.2522996,-8.342049
0.6201553,0.6241066,-0.2542776,-1.7101755,3.264398,1.6201165,-0.00516849,0.007041476,-3.284302,-1.0177617,-0.015752291,0.010692855,-1.1932085,0.74987084,-0.4355616,4.29073
