Joint_1,Joint_2,Joint_3,Joint_4,Joint_5,Joint_6,Joint_7,Joint_8,Joint_9,Joint_10,Joint_11,Joint_12,Joint_13,Joint_14,Joint_15,Joint_16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.2140493,-5.0,2.165263,3.965252,5.0,0.16619119,-4.0611453,0.177567,5.0,-1.2223732,-2.593285,8.987719,3.5190277,3.450965,5.0,-1.6919813
0.6577258,-3.845098,-1.3417261,-3.1422665,5.0,-2.1602273,-2.5235438,0.13410538,2.7117388,0.19987726,-1.8233402,-0.212278,1.8362622,2.3952334,2.5645833,-0.7684357
-4.806682,-4.559661,4.858344,-1.7020755,5.0,0.13089097,-0.8255163,-3.8548174,5.0,-0.9918234,-3.7530577,9.818618,-2.2361362,5.0,1.0798777,-0.45589107
-5.0,1.9299148,-0.81292105,0.3516379,-0.41986537,-2.2089093,5.0,-5.0,5.0,1.2401518,-0.26830792,-4.7078905,-5.0,0.0042075515,-0.55185664,-2.662653
-5.0,5.0,-5.0,10.0,1.8593007,-2.228259,-0.5897454,0.11895132,-0.4298285,-5.0,5.0,-7.056382,-4.5844793,-5.0,-5.0,2.9249442
1.7841474,4.901669,1.3989985,2.8967302,5.0,-5.0,-5.0,-5.0,5.0,5.0,-5.0,-7.7222495,3.0956104,-5.0,1.3197155,1.3655422
0.12241197,-2.8721116,5.0,-5.2051835,5.0,-0.31330562,-3.3206637,5.0,3.4142914,5.0,-5.0,10.0,5.0,4.5330772,5.0,2.8695493
-1.2773647,-1.5827874,4.469458,-0.556048,5.0,-4.3505483,-5.0,-0.6143104,5.0,5.0,-2.8301668,-10.0,0.35042787,5.0,5.0,-0.3625805
-5.0,5.0,-5.0,-3.0308619,0.44679016,-3.6376925,1.4184921,2.5185862,2.7850924,5.0,-1.0173789,-4.0292177,-3.1203744,5.0,0.6118177,1.7041214
-5.0,3.0812707,-5.0,10.0,-4.916349,2.5147367,3.4919996,0.35330334,-4.154985,1.7991726,2.3569007,0.55492425,-5.0,-5.0,-5.0,5.0
-5.0,5.0,-5.0,0.17950249,5.0,-4.241155,-5.0,-5.0,3.7435365,-5.0,2.9836948,-3.0393596,-5.0,-5.0,-2.4325886,-2.8363965
4.685029,-0.43732893,-0.59047216,-4.9068427,5.0,-3.3312497,-4.368641,5.0,5.0,5.0,-5.0,5.557885,5.0,-5.0,1.826504,-0.21818478
1.4753541,-1.7814362,3.833876,-3.5766153,5.0,-1.1032078,-3.5237799,3.0727293,2.8387058,5.0,-5.0,10.0,4.617698,2.6873527,4.960782,-0.9225025
-1.7098708,-2.5882294,4.347687,0.020763429,5.0,-5.0,-5.0,-5.0,3.6303942,5.0,-5.0,-9.749266,0.58152235,5.0,5.0,-1.3920957
-5.0,5.0,-5.0,-0.18243945,0.86714035,-5.0,-0.32544482,-3.1305249,1.6066487,5.0,0.08384809,-0.065923214,-4.569154,5.0,0.3000978,0.4765228
-5.0,5.0,-5.0,4.7812843,-5.0,0.8471252,2.0223386,0.49331024,-1.0418549,1.0805516,2.9429407,-0.1888364,-3.3885732,-5.0,-5.0,-5.0
-5.0,5.0,-5.0,-0.5338582,5.0,-1.3312819,-0.042045355,-2.617308,2.2642136,-5.0,2.1786635,-3.044701,-0.9890115,-5.0,-0.8107456,4.9859467
3.5827627,-3.167362,2.009326,-5.542586,5.0,-2.8779507,-5.0,5.0,1.1739826,5.0,-5.0,10.0,5.0,-1.6116517,2.3441963,-0.08854316
0.18710887,-4.586666,5.0,-0.58097893,5.0,-5.0,-5.0,1.2313437,3.5492613,5.0,-5.0,-4.030609,2.9244604,5.0,5.0,-0.54989856
-0.8213006,-4.267308,5.0,-1.0234956,5.0,-5.0,-5.0,-5.0,5.0,5.0,-5.0,-10.0,0.4204892,5.0,5.0,-1.2789644
-5.0,4.5744777,-5.0,3.568438,0.12322411,-5.0,-0.29789585,-1.3185792,-2.1424243,5.0,0.5219711,10.0,-5.0,5.0,0.6888503,-0.41790265
-5.0,5.0,-5.0,4.287193,-5.0,2.1179502,2.5789886,-0.9311203,-5.0,1.3628345,3.4076567,0.27002475,-5.0,-4.4330487,-5.0,5.0
-5.0,5.0,-5.0,10.0,0.3031882,-0.29711676,1.2112936,-0.12188463,-0.46104413,-5.0,5.0,-0.5663428,-4.892626,-5.0,-5.0,5.0
1.7927827,3.0841012,-4.898864,1.6150326,5.0,-5.0,-5.0,-5.0,3.8905544,3.0458872,-5.0,0.37390473,3.3314052,-5.0,1.0001497,0.15029395
3.9647717,-3.0232172,4.3290873,-0.51304656,5.0,-4.1061225,-5.0,-5.0,1.734286,5.0,-5.0,10.0,4.5130844,-0.20240068,1.9186224,1.0333601
-1.4010683,-0.48712432,5.0,-0.0009760863,5.0,-2.4268546,-3.935346,5.0,5.0,5.0,-2.4881735,10.0,-0.19015133,5.0,5.0,-0.37907526
-5.0,3.630529,-5.0,0.550229,3.4403324,-5.0,-1.538037,-1.4531094,0.8166036,5.0,0.59328294,8.365415,-3.6574378,5.0,1.1569034,-0.54279804
-5.0,5.0,-5.0,0.5846895,-1.8521547,3.2242613,3.0435748,0.5264253,-5.0,-1.9656639,5.0,-0.032188345,-5.0,-5.0,-5.0,-5.0
-5.0,5.0,-5.0,10.0,2.376203,-2.158966,-2.5384774,-4.8856754,-1.5772743,-5.0,5.0,-0.05586913,-5.0,-5.0,-5.0,5.0
3.3429675,-3.7866862,0.45266986,0.09665866,5.0,-5.0,-5.0,-5.0,5.0,4.3790073,-5.0,1.0533798,4.698637,-5.0,0.8660184,-0.014293879
0.38019133,-4.0418696,5.0,-0.36995617,5.0,-5.0,-5.0,-1.2345448,2.4759002,5.0,-5.0,-6.811924,0.4098786,5.0,5.0,-0.3765114
-3.0075014,1.0894859,-2.6910307,-4.564051,5.0,-5.0,-5.0,-5.0,5.0,5.0,-4.653377,-7.7744026,-0.69079745,5.0,5.0,1.0324595
-5.0,5.0,-5.0,-8.442755,-2.4129884,0.52205503,0.30563217,5.0,-4.544741,2.8525307,2.272635,0.46116316,-5.0,-1.7064295,-2.9798837,-0.10434485
-5.0,5.0,-5.0,1.1820786,-0.7023078,-0.031138211,1.4171367,-0.17848347,-1.0338608,-5.0,5.0,-0.874116,-5.0,-5.0,-3.5604625,-1.3716456
1.0549208,1.632896,0.6950574,7.840607,5.0,-4.646291,-5.0,-5.0,5.0,1.793308,-3.5519528,0.18818785,4.251317,-5.0,-0.34272882,-2.8454723
1.8303717,-3.9304407,4.571284,0.28498065,5.0,-1.2020581,-4.3985367,5.0,4.377913,5.0,-5.0,10.0,5.0,1.5639219,2.3816524,0.11979883
-0.6068717,-2.8147602,5.0,-0.49678653,5.0,-5.0,-5.0,-5.0,5.0,5.0,-2.4549255,4.3249574,-0.47024843,5.0,5.0,-0.5387192
-4.8861547,3.3846989,-3.7405424,-0.042170748,1.8202612,-5.0,-1.1472176,1.379535,5.0,5.0,3.7438111,2.843013,-2.7143574,5.0,1.2868608,-0.05466543
-5.0,5.0,-5.0,-0.3093562,-3.267642,3.6858683,4.0553346,-0.8163234,-3.835536,0.6537063,3.9904807,-0.5685917,-5.0,-5.0,-4.5720677,4.184627
-5.0,5.0,-5.0,4.2465944,2.5116043,0.6952637,1.6295433,2.402055,-0.4132915,-5.0,5.0,-0.32285818,-5.0,-5.0,-3.5860162,-5.0
2.594039,-1.0208602,2.266702,6.202444,5.0,-5.0,-5.0,5.0,5.0,3.216619,-3.8369486,1.0397954,5.0,-5.0,-0.30769253,0.29887038
2.0510476,-5.0,5.0,-0.5827364,5.0,-2.465938,-5.0,5.0,5.0,5.0,-5.0,-8.318203,4.279626,4.5800915,5.0,-0.75597423
0.28793573,-5.0,5.0,-1.4465225,5.0,-5.0,-5.0,-5.0,5.0,5.0,-2.7775996,3.5152857,-0.3128621,5.0,5.0,-0.16843297
-5.0,4.5361586,-5.0,-3.4780464,-3.0109262,-1.0054023,1.0365083,0.076352626,-1.1424911,5.0,1.5446749,-0.09977884,-4.5422716,1.5691675,-2.4681718,-0.570633
-5.0,3.2819896,-5.0,10.0,-0.51566976,1.7118936,2.3739526,0.18194231,-5.0,-2.775806,5.0,-1.2393483,-5.0,-5.0,-5.0,-2.3942685
-3.249422,4.595527,-5.0,9.351819,5.0,-5.0,-5.0,-5.0,5.0,-3.4330237,0.7560152,0.10832069,0.0020685196,-5.0,1.6937696,5.0
3.7530913,-3.5817373,2.3409684,-0.39169833,5.0,-5.0,-5.0,-5.0,5.0,5.0,-5.0,-5.3752613,5.0,-5.0,0.7329924,0.037433285
1.3778311,-4.460666,5.0,-1.3188099,5.0,-4.107916,-4.180576,5.0,1.9161897,5.0,-3.865984,10.0,1.4790565,5.0,5.0,-0.9292721
-3.3283167,-0.3466826,1.0384074,3.5998445,5.0,-5.0,-5.0,-4.1351023,4.5222635,5.0,-1.5815673,-6.394911,-2.3692718,5.0,5.0,-1.0845118
-5.0,2.4087174,-5.0,0.85545945,-3.7522824,-0.41828018,1.6895168,0.5231349,-3.023496,4.045811,2.5010638,0.41124722,-5.0,1.0109601,-2.0431643,-0.3105512
-5.0,5.0,-5.0,-7.035533,-0.6628907,1.2508634,2.6325467,1.3328125,-1.2651383,-5.0,5.0,-1.3936952,-3.8768578,-5.0,-5.0,-3.676905
-1.9320647,5.0,-5.0,-5.098703,5.0,-5.0,-5.0,-5.0,4.481817,-1.9213744,0.1397649,2.4799461,1.4791656,-5.0,1.3368821,1.7248025
1.8980428,-2.941286,2.7212012,0.14613414,5.0,-3.1643257,-5.0,5.0,1.8561366,5.0,-5.0,10.0,5.0,1.9265311,4.4347105,0.025925022
-0.9893775,-3.6320555,5.0,-1.173762,5.0,-5.0,-5.0,-4.454314,5.0,5.0,-5.0,7.2154064,-0.06416127,5.0,5.0,-0.828578
-5.0,4.4278755,-4.0660987,1.1837782,5.0,-5.0,-3.5144289,5.0,4.138606,5.0,1.2170594,10.0,-3.0373473,5.0,2.2123103,0.28075323
-5.0,5.0,-5.0,-7.5678587,-5.0,2.309102,3.095882,-0.94510865,-2.4033132,-0.9543227,5.0,0.32885712,-5.0,-5.0,-5.0,5.0
-5.0,5.0,-5.0,3.0684187,0.8983542,-0.0014680326,1.378042,2.0402832,-0.8315379,-5.0,5.0,0.07230337,-4.3517327,-5.0,-5.0,-4.874865
-2.859868,5.0,-5.0,-10.0,5.0,-5.0,-5.0,-5.0,4.002151,-1.0000504,-0.34094548,0.4145795,0.18293369,-5.0,-1.0174252,-5.0
0.9730301,-3.9347947,3.8968246,0.17423077,5.0,-4.8860416,-5.0,-5.0,3.8408985,5.0,-5.0,-8.251569,5.0,2.7364757,3.7853856,-0.9265276
-0.3755685,-3.685369,5.0,0.08111615,5.0,-3.9698896,-4.9111114,-0.7093246,5.0,5.0,-3.9088304,-9.933067,1.3253957,5.0,5.0,-0.35408658
-5.0,4.675562,-5.0,5.557241,-3.1867726,-1.1042626,2.9910982,-5.0,-5.0,5.0,3.9475117,9.940775,-5.0,4.27911,-5.0,4.1513553
-5.0,5.0,-5.0,10.0,-1.6749966,1.5171952,1.46661,0.19222933,-3.0384898,-2.268176,5.0,-0.11182431,-5.0,-5.0,-5.0,3.354988
-4.469601,2.3535166,-5.0,10.0,5.0,-5.0,-5.0,-2.2608175,1.1849017,-5.0,1.0814345,-0.19113573,-1.5428267,-5.0,0.3189659,0.39957726
3.3070884,-1.8499771,0.9702749,-0.573901,5.0,-5.0,-5.0,-5.0,3.4876463,5.0,-5.0,10.0,5.0,-3.9094727,2.5545127,-0.34873062
0.8184346,-3.1431594,5.0,-0.17698203,5.0,-5.0,-5.0,-1.7213745,4.369609,5.0,-5.0,10.0,3.8780837,5.0,5.0,-1.3121767
-5.0,3.302614,-5.0,1.0461804,3.5229847,-5.0,-3.2264466,-5.0,0.7576797,5.0,2.8263876,3.3677936,-5.0,5.0,2.2236023,-0.9317053
