Joint_1,Joint_2,Joint_3,Joint_4,Joint_5,Joint_6,Joint_7,Joint_8,Joint_9,Joint_10,Joint_11,Joint_12,Joint_13,Joint_14,Joint_15,Joint_16
0.13560946,-0.0,-0.0,0.0,-0.1840195,0.0,0.0,0.0,-0.20222683,-0.0,-0.0,0.0,0.27530444,0.0,0.0,0.0
0.15509292,0.0018303784,-0.006202666,8.708458e-08,-0.1955872,0.007065054,0.013422283,-0.00023249528,-0.19209486,0.0070745754,-0.013838599,3.2524942e-05,0.26161838,0.0049235444,0.006907042,-0.00038470805
0.075340435,0.084628895,0.14752522,-0.17519562,-0.1571605,-0.05613277,0.2795074,-0.22997539,-0.21532294,0.08693721,0.26640838,-0.37026176,0.09539247,-0.052273165,0.12686594,0.13769507
0.11398876,0.12921356,0.18888767,-0.20957975,-0.16316116,-0.08869381,0.398211,-0.27461648,-0.25973085,0.07847597,0.37308627,-0.20181015,-0.016186243,-0.011352131,0.03506363,0.58733904
0.1130356,0.04286507,0.1847682,-0.06995214,0.06366175,-0.0128786145,0.31419015,-0.2587987,-0.21505433,0.059770856,0.39243847,-0.31111717,-0.02604966,-0.06426621,-0.0064128027,0.5621848
0.23290701,0.09077194,0.29524502,-0.026504686,0.018005818,0.04183586,0.25375655,-0.26026604,-0.021635018,0.0027831479,0.34147945,-0.09213224,0.179884,-0.2784282,0.35784307,0.13593927
0.14747265,-0.0060405643,0.3999994,-0.18675068,-0.07700395,0.12511428,0.2929902,0.008414269,0.09091899,-0.017754285,0.2983089,0.21564317,0.4147719,-0.22353046,0.40000844,0.020841584
-0.07040365,0.11036515,0.40000993,-0.19404477,-0.12080772,0.16307671,0.27226087,0.1732621,0.1839221,-0.05357564,0.17667155,0.33967033,0.23597571,-0.14204648,0.3998172,-0.12736802
-0.13191806,0.08747295,0.22459081,0.044822186,-0.0701922,0.06221906,0.28755948,0.057776734,0.12884276,-0.005877988,0.16704102,0.1485557,-0.048054364,0.0641551,0.31781346,-0.2247507
-0.004399491,0.028504241,0.30352223,0.19084887,-0.20893024,-0.028807266,0.39999968,-0.25513244,-0.18596558,0.2065836,0.40002576,-0.113109484,-0.18558761,0.15426156,0.24000792,0.31497788
